abstention,arm,bounds_pass,contrast,coverage,ece,elapsed_seconds,h8_nll,invalid_reason,kind,lower,marginals_pass,passed,peak_vram_bytes,reason,regime,safe_service,safe_service_eligible_fold_count,safe_service_eligible_only,safe_service_total_fold_count,seed,status,tau,temperature,unsafe_selection,upper
0.5483246309705408,R,,,0.4516753690294591,0.12599299994125876,52.35484011299559,0.20640157056839542,,,,,,0,,ID,0.9676804315476191,128,0.9676804315476191,128,29,VALID,0.8238805179108792,1.25,0.630326645882712,
0.4963826410517587,CM,,,0.5036173589482413,0.12977600784087942,54.70123904698994,0.22061663665703818,,,,,,0,,ID,0.9654265873015873,128,0.9654265873015873,128,29,VALID,0.8806115607233562,1.5,0.6276602099901732,
0.5488675017282554,Z,,,0.4511324982717446,0.1332867832818337,57.04049880198727,0.23595859787954737,,,,,,0,,ID,0.9512524801587302,128,0.9512524801587302,128,29,VALID,0.8575822890619728,1.25,0.6390292465143108,
0.5361232498353362,T,,,0.4638767501646638,0.1130244155580486,59.389534021000145,0.17303986326097556,,,,,,0,,ID,0.9575582837301587,128,0.9575582837301587,128,29,VALID,0.7771466809512119,1.25,0.6275430745214753,
0.5149233578921079,R,,,0.4850766421078921,0.2256268166643035,83.45306746500137,0.4700980044000934,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9654351395730706,128,29,INVALID,0.8238805179108792,1.25,0.8214543160832224,
0.42949940684315685,CM,,,0.5705005931568432,0.24793678333765323,85.27629692899063,0.52835691928697,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9267241379310345,128,29,INVALID,0.8806115607233562,1.5,0.824772178776085,
0.46400825736763235,Z,,,0.5359917426323676,0.26767468719914217,87.09566101299424,0.5601128477986927,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.8593185550082102,128,29,INVALID,0.8575822890619728,1.25,0.8233512147574648,
0.5130325403762903,T,,,0.48696745962370963,0.1922405188144308,88.84574027000053,0.42324200117302585,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.889367816091954,128,29,INVALID,0.7771466809512119,1.25,0.8251497525911589,
0.5190966585497835,R,,,0.48090334145021646,0.2812240077914703,111.27200276999793,0.6491507617497544,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.9739583333333334,128,29,INVALID,0.8238805179108792,1.25,0.9129035894660895,
0.4026348868145743,CM,,,0.5973651131854256,0.32264878117655205,112.90540102998784,0.7638406625461096,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.875,128,29,INVALID,0.8806115607233562,1.5,0.914574596410534,
0.42220333919552666,Z,,,0.5777966608044733,0.35490321965495025,114.44289262600068,0.7954496113031342,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.6336805555555556,128,29,INVALID,0.8575822890619728,1.25,0.9254641842532467,
0.4780446766774892,T,,,0.5219553233225108,0.24084476218888745,116.0325833359966,0.5870407989760862,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.9140625,128,29,INVALID,0.7771466809512119,1.25,0.9182238117784993,
0.5462516713780501,R,,,0.45374832862194997,0.12209465026405064,49.8646342419961,0.21046750740126713,,,,,,0,,ID,0.9665643601190477,128,0.9665643601190477,128,43,VALID,0.7979965053589744,1.25,0.6309276074211736,
0.5055762622283761,CM,,,0.4944237377716238,0.12673608945494735,52.09525037200365,0.21905887771051652,,,,,,0,,ID,0.9467974950396826,128,0.9467974950396826,128,43,VALID,0.8522458107958194,1.5,0.6331473660632668,
0.5537533819071043,Z,,,0.4462466180928957,0.13414132365740505,54.444857180002145,0.23677244916398352,,,,,,0,,ID,0.9521825396825396,128,0.9521825396825396,128,43,VALID,0.8606924875767563,1.25,0.6383585305115635,
0.522354051432636,T,,,0.47764594856736403,0.11686833139015551,56.73323634099506,0.18644445084431915,,,,,,0,,ID,0.9825613839285714,128,0.9825613839285714,128,43,VALID,0.7831561622350599,1.5,0.6238646891048086,
0.5035360472860473,R,,,0.4964639527139527,0.24397814316461947,79.8206751819962,0.5523792540971328,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9683087027914614,128,43,INVALID,0.7979965053589744,1.25,0.8205862605276668,
0.4461287085310523,CM,,,0.5538712914689478,0.2439427436284503,81.55413467698963,0.5423035757268518,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.7413793103448276,128,43,INVALID,0.8522458107958194,1.5,0.8413153144598458,
0.46999629060175935,Z,,,0.5300037093982406,0.27560612615128627,83.33359225699678,0.5969517622261376,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.8880541871921183,128,43,INVALID,0.8606924875767563,1.25,0.8205103056665557,
0.43314409115190367,T,,,0.5668559088480963,0.21255737104353006,85.10922094200214,0.44522615660644765,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9626436781609196,128,43,INVALID,0.7831561622350599,1.5,0.8196158984244921,
0.5077124481421357,R,,,0.4922875518578643,0.30292908342348657,106.99854941900412,0.7538447419255853,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.9739583333333334,128,43,INVALID,0.7979965053589744,1.25,0.9129035894660895,
0.41292754554473304,CM,,,0.5870724544552669,0.32613111589231536,108.5594968880032,0.8105209190244713,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.6840277777777778,128,43,INVALID,0.8522458107958194,1.5,0.9247249278499279,
0.4348490485209235,Z,,,0.5651509514790765,0.3598488715420715,110.15581250899413,0.8426784770723053,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.6996527777777778,128,43,INVALID,0.8606924875767563,1.25,0.9200867491883117,
0.3707586467352092,T,,,0.6292413532647908,0.2656577247878518,111.73580738400051,0.6086386105057082,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.9296875,128,43,INVALID,0.7831561622350599,1.5,0.9165745062229437,
0.5495675286978137,R,,,0.4504324713021864,0.12093119903676051,49.477630523004336,0.20606823622018308,,,,,,0,,ID,0.9648592509920635,128,0.9648592509920635,128,71,VALID,0.8457768809922925,1.25,0.6314158886711736,
0.5014305757814489,CM,,,0.49856942421855105,0.13611388021769016,51.70430441699864,0.22794854911280393,,,,,,0,,ID,0.931414310515873,128,0.931414310515873,128,71,VALID,0.8936323668753611,1.75,0.6335272443038987,
0.5464983864685151,Z,,,0.4535016135314848,0.1308081431638289,54.00808821200917,0.23415541082012026,,,,,,0,,ID,0.9520430307539682,128,0.9520430307539682,128,71,VALID,0.8787458203919141,1.25,0.6385084131809775,
0.5087661464097585,T,,,0.49123385359024146,0.11063695513738818,56.32179505600652,0.1825173886768886,,,,,,0,,ID,0.9722377232142857,128,0.9722377232142857,128,71,VALID,0.7901808957462493,1.25,0.6232330692693744,
0.5160360472860472,R,,,0.4839639527139527,0.2252037493617139,79.61704344699683,0.4913381902758636,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9654351395730706,128,71,INVALID,0.8457768809922925,1.25,0.8214543160832224,
0.43335946822274946,CM,,,0.5666405317772505,0.24353381666717103,81.40294038399588,0.5009431952854201,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.6228448275862069,128,71,INVALID,0.8936323668753611,1.75,0.8551312077679265,
0.4557301639332889,Z,,,0.5442698360667111,0.2641405592766085,83.13739151100162,0.5633712157418123,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9958128078817734,128,71,INVALID,0.8787458203919141,1.25,0.814781138999889,
0.4489501709228272,T,,,0.5510498290771728,0.20279141173141346,84.95635589800077,0.4729902408436526,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9152298850574713,128,71,INVALID,0.7901808957462493,1.25,0.8235221484244921,
0.5138474589646465,R,,,0.48615254103535355,0.2828902135818924,107.14296305000607,0.6806328853892109,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.9739583333333334,128,71,INVALID,0.8457768809922925,1.25,0.9129035894660895,
0.3977086715367965,CM,,,0.6022913284632034,0.31571528901760143,108.70470583099814,0.7051448123043287,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.4427083333333333,128,71,INVALID,0.8936323668753611,1.75,0.9471187883297258,
0.41077290764790764,Z,,,0.5892270923520924,0.3501660493015753,110.3129462650104,0.8061502181772057,metrics: missing safe_service denominator,,,,,0,,OOD,,71,1.0,128,71,INVALID,0.8787458203919141,1.25,0.9084548047438672,
0.37289355609668107,T,,,0.6271064439033189,0.2552505321951908,111.84031549000065,0.6686124916350606,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.8880208333333334,128,71,INVALID,0.7901808957462493,1.25,0.9162396847943723,
0.5476516060787661,R,,,0.452348393921234,0.1198064671103033,49.43015585199464,0.20633106050369304,,,,,,0,,ID,0.9663783482142857,128,0.9663783482142857,128,89,VALID,0.8334120900096644,1.25,0.6308846815969977,
0.4999042094802665,CM,,,0.5000957905197335,0.13482539227122856,51.66737974899297,0.22609398159827707,,,,,,0,,ID,0.9338634672619047,128,0.9338634672619047,128,89,VALID,0.8488226961123209,1.75,0.6323006388780745,
0.555464943935762,Z,,,0.44453505606423804,0.13172914478136585,53.885301918999176,0.23393129466743393,,,,,,0,,ID,0.9513144841269842,128,0.9513144841269842,128,89,VALID,0.8757350586370284,1.25,0.638818089335093,
0.5041200361627751,T,,,0.4958799638372249,0.1213839762637057,56.146355353994295,0.1877920971066303,,,,,,0,,ID,0.9810267857142857,128,0.9810267857142857,128,89,VALID,0.812049951969026,1.75,0.6217395030929038,
0.5103352593586968,R,,,0.48966474064130316,0.22808547477707758,79.38236362898897,0.5129398328447173,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9683087027914614,128,89,INVALID,0.8334120900096644,1.25,0.8205862605276668,
0.4328859833742646,CM,,,0.5671140166257354,0.2481017006561202,81.18050461699022,0.5304158312946696,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.6580459770114943,128,89,INVALID,0.8488226961123209,1.75,0.8522725429951993,
0.46706660310175935,Z,,,0.5329333968982406,0.265407895326676,82.9952199979889,0.573463478842583,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.8880541871921183,128,89,INVALID,0.8757350586370284,1.25,0.8205103056665557,
0.42546839011682763,T,,,0.5745316098831724,0.2039737919072779,84.79624585199053,0.40055572754452207,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9238505747126438,128,89,INVALID,0.812049951969026,1.75,0.8248676345356033,
0.5159927962662337,R,,,0.4840072037337662,0.28602085688978235,106.64506727999833,0.7126639524655237,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.9739583333333334,128,89,INVALID,0.8334120900096644,1.25,0.9129035894660895,
0.4070709889069264,CM,,,0.5929290110930736,0.32237063444596437,108.25788714998635,0.7600494203930335,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.39409722222222227,128,89,INVALID,0.8488226961123209,1.75,0.9448066039862915,
0.43456693046536793,Z,,,0.565433069534632,0.3487173582718394,109.8452835129865,0.8160039870762492,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.6996527777777778,128,89,INVALID,0.8757350586370284,1.25,0.9200867491883117,
0.3454536999458874,T,,,0.6545463000541125,0.2541717414298404,111.39219774099183,0.5442057459348516,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.9244791666666666,128,89,INVALID,0.812049951969026,1.75,0.9173774576118326,
0.5439886024157623,R,,,0.45601139758423764,0.11994957963202538,49.531448380992515,0.20642047625867802,,,,,,0,,ID,0.9727027529761905,128,0.9727027529761905,128,107,VALID,0.8239818927535514,1.25,0.6282282885109172,
0.4946065525569202,CM,,,0.5053934474430798,0.1314801751535496,51.789999080996495,0.22168383346631373,,,,,,0,,ID,0.9179036458333333,128,0.9179036458333333,128,107,VALID,0.8778500101955835,1.75,0.6377524538370126,
