sequence_length,segment_tokens,segment_elapsed_sec,segment_tokens_per_sec,state_sequence_length,cache_tensor_bytes,cache_mebibytes,cuda_allocated_mb,cuda_peak_mb,open_block_tokens
512,448,1.004172858010861,446.1383281036206,512,10240,0.009765625,331.16259765625,387.78466796875,0
1024,512,1.0463459099992178,489.3219298772647,1024,14336,0.013671875,331.41650390625,388.03857421875,0
2048,1024,2.1586631699901773,474.3676615396461,2048,22528,0.021484375,331.92431640625,388.54638671875,0
4096,2048,4.640043574996525,441.3751653186864,4096,38912,0.037109375,332.93994140625,432.25341796875,0
8192,4096,11.187070433996269,366.13696357472725,8192,71680,0.068359375,334.97119140625,522.31591796875,0
16384,8192,31.62095686599787,259.06869405362266,16384,137216,0.130859375,339.03369140625,702.44091796875,0
32768,16384,96.51063239701034,169.763678810041,32768,268288,0.255859375,347.15869140625,1062.69091796875,0
