abstention,arm,coverage,ece,elapsed_seconds,h8_nll,notice,peak_vram_bytes,regime,safe_service,seed,status,tau,temperature,unsafe_selection
0.5,R,0.5,0.9562587092416923,0.1340845529921353,3.1385493346970854,SYNTHETIC NON-OFFICIAL — NOT AN OFFICIAL WORLD OR RESULT,0,ID,1.0,29,SYNTHETIC,0.9587596993187238,4.0,0.0
0.5,R,0.5,0.9571533097456645,0.14080437499796972,3.162736927519985,SYNTHETIC NON-OFFICIAL — NOT AN OFFICIAL WORLD OR RESULT,0,shift,1.0,29,SYNTHETIC,0.9587596993187238,4.0,0.0
0.0,R,1.0,0.9461924808167514,0.1471601659868611,2.9482620468188494,SYNTHETIC NON-OFFICIAL — NOT AN OFFICIAL WORLD OR RESULT,0,OOD,1.0,29,SYNTHETIC,0.9587596993187238,4.0,0.0
